# termux_arch|package|version|repository_path|sha256
x86_64|libltdl|2.6.2|pool/main/libl/libltdl/libltdl_2.6.2_x86_64.deb|9a71bef5c3ba9da2a90ec6dfa0fd99e1802cb03cc3ec37059340c6c7b7f441fd
x86_64|libsndfile|1.2.2-2|pool/main/libs/libsndfile/libsndfile_1.2.2-2_x86_64.deb|b1464c23bbef58256b837a2ffafbc372e9464c295490e68e9307c22945e9055a
x86_64|libsoxr|0.1.3-8|pool/main/libs/libsoxr/libsoxr_0.1.3-8_x86_64.deb|3cd66761119a4f4cb621a701279c2b2edc9a6c4e9f1872dbfc8058fb76c6a66f
x86_64|speexdsp|1.2.1-1|pool/main/s/speexdsp/speexdsp_1.2.1-1_x86_64.deb|9d8b3656fb666b524cd46ef6c37b3323033e7398400746fc09945dc004fb0e7f
x86_64|libiconv|1.18-1|pool/main/libi/libiconv/libiconv_1.18-1_x86_64.deb|c171356580d85f58d3eedc9c5f49b563d80afb18c92cbbb0382295d539bc0719
x86_64|libflac|1.5.0-1|pool/main/libf/libflac/libflac_1.5.0-1_x86_64.deb|2f07360bfa8c876eeb73cd566c4c0bde19345645dcae4fbc6db14cc12301c6e3
x86_64|libmp3lame|3.100-7|pool/main/libm/libmp3lame/libmp3lame_3.100-7_x86_64.deb|098490855464eefed965c91b8484d275ba840042d882b66dc6346a96d0f5f70e
x86_64|libogg|1.3.6-1|pool/main/libo/libogg/libogg_1.3.6-1_x86_64.deb|55dd0908feb56bec69fdf1c0aaeedb73f6c74cc28495c0d640172845863c9eed
x86_64|libopus|1.6.1|pool/main/libo/libopus/libopus_1.6.1_x86_64.deb|724f0215e78a21a02f8dd01dd6c78d6cea71457c8080be99f984f5d8c8f5e4d9
x86_64|libvorbis|1.3.7-4|pool/main/libv/libvorbis/libvorbis_1.3.7-4_x86_64.deb|9515c03de58faa17e2e19deb78da09289c90b939c17fcbaf4b171aebfefb65bf
